_RAJ2000,_DEJ2000,cl,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag
208.550514,14.659018,3,22.011,0.412,21.293,0.086,20.599,0.072,20.164,0.093,20.241,0.355
208.556888,14.676109,3,23.821,1.711,22.431,0.223,21.367,0.137,20.813,0.162,21.61,1.07
208.528869,14.666058,3,26.585,0.655,22.641,0.254,21.409,0.131,20.765,0.143,20.101,0.274
208.535565,14.661482,3,21.975,0.301,22.854,0.244,21.404,0.107,20.748,0.118,20.913,0.45
208.541901,14.668232,3,23.189,0.776,24.103,0.6,22.037,0.174,22.196,0.4,22.392,1.115
208.547894,14.675425,6,22.809,0.495,23.771,0.402,22.324,0.195,22.145,0.337,23.596,0.797
208.546844,14.664864,3,25.149,1.538,26.029,0.706,23.325,0.585,20.626,0.109,19.533,0.134
208.54584,14.655547,6,25.166,1.17,24.24,0.55,22.859,0.302,21.503,0.187,20.695,0.282
208.539516,14.674419,3,20.072,0.111,18.429,0.012,17.465,0.008,17.02,0.009,16.651,0.02
208.538691,14.677106,3,23.809,0.908,23.076,0.221,21.973,0.14,21.391,0.129,22.573,0.79
208.544412,14.660293,6,19.263,0.026,16.852,0.004,15.551,0.003,15.005,0.003,14.66,0.004
208.544369,14.663512,6,24.482,0.961,21.875,0.066,21.081,0.055,20.678,0.058,20.536,0.167
208.545449,14.66206,6,24.586,1.18,22.99,0.207,22.01,0.144,21.558,0.151,22.161,0.704
208.546689,14.669864,6,21.223,0.099,20.085,0.018,19.854,0.021,19.731,0.027,19.746,0.084
208.549447,14.668553,6,21.034,0.085,20.177,0.019,19.974,0.023,19.836,0.029,19.964,0.102
208.547718,14.669314,3,23.934,1.048,22.537,0.15,20.653,0.048,20.005,0.041,19.805,0.113
208.548023,14.680591,6,21.739,0.153,20.075,0.018,19.301,0.014,19.006,0.016,18.813,0.04
208.55257,14.674003,6,25.252,0.8,21.505,0.049,19.959,0.023,18.643,0.012,17.972,0.021
208.524059,14.67108,3,23.031,0.968,21.045,0.07,19.469,0.028,18.697,0.023,18.207,0.049
208.525562,14.669685,6,23.953,0.797,23.051,0.175,21.748,0.097,21.161,0.088,20.991,0.244
208.530504,14.670928,3,23.926,0.86,22.373,0.109,20.845,0.048,20.085,0.038,19.617,0.084
208.534848,14.658538,3,23.456,1.184,22.138,0.166,21.498,0.151,21.018,0.156,20.421,0.313
208.535522,14.661485,3,25.661,0.729,22.945,0.19,21.571,0.096,21.07,0.095,20.89,0.263
208.540954,14.680104,3,23.027,0.541,22.184,0.107,21.182,0.072,20.833,0.081,20.909,0.29
208.541984,14.668265,3,22.541,0.446,22.742,0.224,21.848,0.163,21.355,0.167,20.767,0.344
208.547685,14.677569,3,21.803,0.261,21.324,0.071,20.869,0.074,20.577,0.091,20.559,0.331
208.549335,14.678174,3,23.599,0.956,22.444,0.155,21.483,0.109,21.188,0.13,22.236,0.869
208.550446,14.672348,3,23.345,0.762,21.89,0.093,21.011,0.069,20.693,0.081,20.217,0.18
208.549752,14.665195,3,25.822,0.7,22.818,0.182,21.31,0.08,20.808,0.079,20.349,0.177
208.549906,14.662963,3,25.945,0.838,22.17,0.135,20.476,0.05,19.874,0.045,19.566,0.117
208.550466,14.659061,3,24.016,1.79,21.199,0.077,20.516,0.065,20.312,0.087,21.193,0.67
208.561093,14.667393,3,23.463,0.729,22.576,0.145,22.477,0.22,21.784,0.186,22.151,0.698
208.528198,14.670387,6,23.207,0.485,24.237,0.436,22.738,0.23,24.366,0.795,22.651,0.654
208.528895,14.666052,3,22.854,0.615,22.917,0.264,21.386,0.114,20.876,0.116,20.713,0.327
208.535671,14.665502,3,23.472,0.721,23.644,0.359,22.151,0.166,21.763,0.185,20.791,0.265
208.545876,14.655381,3,22.795,0.513,23.444,0.362,21.695,0.132,21.409,0.161,22.014,0.782
208.54801,14.67536,3,23.812,1.041,24.728,0.767,22.204,0.193,22.297,0.32,21.105,0.366
208.55704,14.676115,3,23.675,1.059,22.861,0.236,21.615,0.127,21.31,0.154,21.356,0.528
208.546804,14.664894,6,25.803,0.554,24.136,0.407,22.944,0.272,21.01,0.077,19.804,0.089
208.555146,14.675278,3,25.668,0.875,23.701,0.421,22.774,0.321,21.544,0.167,21.525,0.517
208.555776,14.671498,3,23.985,1.575,23.786,0.638,23.962,1.08,22.746,0.665,20.147,0.245
208.562064,14.697736,6,19.817,0.041,18.709,0.008,18.363,0.008,18.152,0.011,18.16,0.031
208.56528,14.681753,6,18.98,0.024,17.813,0.006,17.444,0.005,17.238,0.006,17.197,0.015
208.572292,14.690781,6,19.722,0.039,17.996,0.006,17.416,0.005,17.145,0.006,17.05,0.014
